ATLANTA HAWKS;1949
BOSTON CELTICS;1946
CHARLOTTE BOBCATS;2004
CHICAGO BULLS;1966
CLEVELAND CAVALIERS;1970
DALLAS MAVERICKS;1980
DENVER NUGGETS;1976
DETROIT PISTONS;1948
GOLDEN STATE WARRIORS;1946
HOUSTON ROCKETS;1967
INDIANA PACERS;1976
LOS ANGELES CLIPPERS;1970
LOS ANGELES LAKERS;1948
MEMPHIS GRIZZLIES;1995
MIAMI HEAT;1988
MINNESOTA TIMBERWOLVES;1989
NEW JERSEY NETS;1976
NEW ORLEANS/OKLAHOMA CITY HORNETS;1988
NEW YORK KNICKERBOCKERS;1946
ORLANDO MAGIC;1989
PHILADELPHIA 76ERS;1949
PHOENIX SUNS;1968
PORTLAND TRAILBLAZERS;1970
SACRAMENTO KINGS;1948
SAN ANTONIO SPURS;1976
SEATTLE SUPERSONICS;1967
TORONTO RAPTORS;1995
UTAH JAZZ;1974
WASHINGTON WIZARDS;1961
